field_2019,desc_2019,field_2018,desc_2018,field_2017,desc_2017
Hobbyist,Do you code as a hobby?,Hobby,Do you code as a hobby?,ProgramHobby,Do you program as a hobby or contribute to open source projects?
OpenSourcer,How often do you contribute to open source?,OpenSource,Do you contribute to open source projects?,,
Employment,Which of the following best describes your current employment status?,Employment,Which of the following best describes your current employment status?,EmploymentStatus,Which of the following best describes your current employment status?
Student,"Are you currently enrolled in a formal, degree-granting college or university program?",Student,"Are you currently enrolled in a formal, degree-granting college or university program?",University,"Are you currently enrolled in a formal, degree-granting college or university program?"
EdLevel,Which of the following best describes the highest level of formal education that you’ve completed?,FormalEducation,Which of the following best describes the highest level of formal education that you’ve completed?,FormalEducation,Which of the following best describes the highest level of formal education that you've completed?
OrgSize,Approximately how many people are employed by the company or organization you work for?,CompanySize,Approximately how many people are employed by the company or organization you work for?,CompanySize,"In terms of the number of employees, how large is the company or organization you work for?"
YearsCode,"Including any education, how many years have you been coding?",YearsCoding,"Including any education, for how many years have you been coding?",YearsProgram,How long has it been since you first learned how to program?
YearsCodePro,How many years have you coded professionally (as a part of your work)?,YearsCodingProf,For how many years have you coded professionally (as a part of your work)?,YearsCodedJob,For how many years have you coded as part of your job?
JobSat,"How satisfied are you with your current job? (If you work multiple jobs, answer for the one you spend the most hours on.)",JobSatisfaction,"How satisfied are you with your current job? If you work more than one job, please answer regarding the one you spend the most hours on.",JobSatisfaction,Job satisfaction rating
JobSeek,Which of the following best describes your current job-seeking status?,JobSearchStatus,Which of the following best describes your current job-seeking status?,JobSeekingStatus,Which of the following best describes your current job-seeking status?
LastHireDate,When was the last time that you took a job with a new employer?,LastNewJob,When was the last time that you took a job with a new employer?,LastNewJob,When was the last time that you took a job with a new employer?
ConvertedComp,"Salary converted to annual USD salaries using the exchange rate on 2019-02-01, assuming 12 working months and 50 working weeks.",ConvertedSalary,"Salary converted to annual USD salaries using the exchange rate on 2018-01-18, assuming 12 working months and 50 working weeks.",Salary,"What is your current annual base salary, before taxes, and excluding bonuses, grants, or other compensation?"
WorkRemote,How often do you work remotely?,,,HomeRemote,How often do you work from home or remotely?
ImpSyn,"For the specific work you do, and the years of experience you have, how do you rate your own level of competence?",AgreeDisagree3,To what extent do you agree or disagree with each of the following statements? I'm not as good at programming as most of my peers,Overpaid,"Compared to your estimate of your own market value, do you think you are…?"
LanguageWorkedWith,"Which of the following programming, scripting, and markup languages have you done extensive development work in over the past year, and which do you want to work in over the next year?  (If you both worked with the language and want to continue to do so, please check both boxes in that row.)",LanguageWorkedWith,"Which of the following programming, scripting, and markup languages have you done extensive development work in over the past year, and which do you want to work in over the next year?  (If you both worked with the language and want to continue to do so, please check both boxes in that row.)",HaveWorkedLanguage,"Which of the following languages have you done extensive development work in over the past year, and which do you want to work in over the next year?"
LanguageDesireNextYear,"Which of the following programming, scripting, and markup languages have you done extensive development work in over the past year, and which do you want to work in over the next year?  (If you both worked with the language and want to continue to do so, please check both boxes in that row.)",LanguageDesireNextYear,"Which of the following programming, scripting, and markup languages have you done extensive development work in over the past year, and which do you want to work in over the next year?  (If you both worked with the language and want to continue to do so, please check both boxes in that row.)",WantWorkLanguage,"Which of the following languages have you done extensive development work in over the past year, and which do you want to work in over the next year?"
DatabaseWorkedWith,"Which of the following database environments have you done extensive development work in over the past year, and which do you want to work in over the next year?   (If you both worked with the database and want to continue to do so, please check both boxes in that row.)",DatabaseWorkedWith,"Which of the following database environments have you done extensive development work in over the past year, and which do you want to work in over the next year?   (If you both worked with the database and want to continue to do so, please check both boxes in that row.)",HaveWorkedDatabase,"Which of the following database technologies have you done extensive development work in over the past year, and which do you want to work in over the next year?"
DatabaseDesireNextYear,"Which of the following database environments have you done extensive development work in over the past year, and which do you want to work in over the next year?   (If you both worked with the database and want to continue to do so, please check both boxes in that row.)",DatabaseDesireNextYear,"Which of the following database environments have you done extensive development work in over the past year, and which do you want to work in over the next year?   (If you both worked with the database and want to continue to do so, please check both boxes in that row.)",WantWorkDatabase,"Which of the following database technologies have you done extensive development work in over the past year, and which do you want to work in over the next year?"
SOComm,Do you consider yourself a member of the Stack Overflow community?,StackOverflowConsiderMember,Do you consider yourself a member of the Stack Overflow community?,StackOverflowCommunity,I feel like a member of the Stack Overflow community
